asin,aggr_verified,aggr_unverified,avg_all,avg_verified,avg_unverified,avg_vine
B074F4CPYJ,25,0,4.64,4.64,,
﻿B06Y5LXM9T,68,9,4.83116883117,4.86764705882,4.55555555556,
﻿B073SDGM2V,16,1,4.52941176471,4.75,1.0,
﻿B07FP37XFX,4,0,5.0,5.0,,
﻿B06XN6HD91,46,2,4.9375,4.9347826087,5.0,
﻿B06XDJP2WX,96,10,4.92452830189,4.91666666667,5.0,
﻿B07F6Q64W4,3,0,5.0,5.0,,
﻿B075KNSDR7,8,1,4.55555555556,4.5,5.0,
﻿B073SCXP26,24,2,4.92307692308,4.91666666667,5.0,
﻿B017SCZY5S,545,48,4.90050590219,4.90275229358,4.875,
﻿B01I2YSG74,19,3,4.77272727273,4.73684210526,5.0,
﻿B06XXKQP32,38,2,4.925,4.92105263158,5.0,
﻿B01F4S7VZY,149,31,4.86111111111,4.8389261745,4.96774193548,
﻿B073SD1V2K,9,1,5.0,5.0,5.0,
﻿B073SDNF7M,17,2,4.94736842105,4.94117647059,5.0,
﻿B01N7D5QAH,37,3,4.625,4.59459459459,5.0,
﻿B01II6AJOE,145,23,4.81547619048,4.84137931034,4.65217391304,
﻿B01ANXAAAS,221,36,4.65369649805,4.69230769231,4.41666666667,
﻿B06XDJP3RF,20,3,4.08695652174,4.3,2.66666666667,
﻿B06WGKYSPD,55,12,4.80597014925,4.81818181818,4.75,
﻿B01I2YPKP0,18,2,4.9,4.88888888889,5.0,
﻿B073JXJ5DB,10,0,5.0,5.0,,
﻿B06XCVDFQ3,22,0,4.68181818182,4.68181818182,,
﻿B07D6X47JQ,2,0,5.0,5.0,,
﻿B077DL791W,12,0,4.66666666667,4.66666666667,,
﻿B010J7ZW88,1058,141,4.90325271059,4.90075614367,4.9219858156,
﻿B074F388BG,25,1,4.80769230769,4.8,5.0,
﻿B073SCLJMQ,16,0,4.75,4.75,,
﻿B079MF3NTK,10,0,5.0,5.0,,
﻿B0183BZDQI,486,66,4.65579710145,4.68312757202,4.45454545455,
﻿B014QPBE3Q,543,76,4.91437802908,4.91344383057,4.92105263158,
